coding	meaning
Y8201	Other urinary contrast radiog.
Y8204	Other uterine operations
Y8210	Other X-ray diagn. procedures
Y8214	Otoplasty - prominent ear
Y8216	Outbreak of malaria- advice
Y8218	Ovarian hormone implant opern
Y8225	P/N - fifth day visit
Y8226	P/N - first day visit
Y8227	P/N - fourth day visit
Y8228	P/N - ninth day visit
Y8229	P/N - second day visit
Y8231	P/N - sixth day visit
Y8232	P/N - tenth day visit
Y8233	P/N - third day visit
Y8234	P/N care <48hrs after birth
Y8235	P/N care >48hrs after birth
Y8238	Pain in left iliac fossa [D]
Y8239	Pain in right iliac fossa [D]
Y8241	Pain, generalized [D]
Y8242	Pain, pleuritic [D]
Y8243	Pain, precordial [D]
Y8244	Painful respiration [D]
Y8245	Painful swallowing
Y8246	Painful urination [D]
Y8247	Palate incision - fenestration
Y8249	Pallor [D]
Y8252	Palpitations [D]
Y8253	Palpitations NOS [D]
Y8255	Pancreas operations
Y8261	Parachuting medical exam.
Y8262	Paraesthesia [D]
Y8263	Parageusia [D]
Y8264	Paralysis - vocal cords/larynx
Y8265	Paralysis agitans
Y8269	Parathyroid operations
Y8271	Parent reassured
Y8272	Parity status
Y8273	Parkinsons Society member
Y8276	Part post-natal care-1 visit
Y8277	Part post-natal care-2 visits
Y8278	Part post-natal care-3 visits
Y8282	Partial ostectomy
Y8284	Partial thromboplastin time
Y8288	Pat. de-registered by GP NOS
Y8301	Patellectomy
Y8304	Path. disloc. - elbow joint
Y8314	Path.fracture - hand
Y8320	Patient advised mobilise part
Y8323	Patient advised re bed rest
Y8324	Patient advised re diet
Y8326	Patient advised re OTC medicat
Y8333	Patient de-registered by GP
Y8334	Patient de-registration
Y8341	Patient initiated enc. NOS
Y8343	Patient not seen > 5 years
Y8344	Patient reassured
Y8346	Patient refused lab. test
Y8347	Patient reg. - data queries
Y8348	Patient reg. data unknown
Y8350	Patient reg. date queries NOS
Y8351	Patient self de-reg NOS
Y8353	Patient self discharge
Y8356	Pelvic abscess drainage
Y8357	Pelvic floor repair op. NOS
Y8358	Pelvic lump [D]
Y8359	Pelvic mass [D]
Y8365	Penile discharge [D]
Y8366	Penis operation NOS
Y8367	Pentagastrin test-acid secret.
Y8368	Percut. needle biopsy - liver
Y8372	Perforation of ear drum
Y8373	Peri articular injection
Y8374	Perianal abscess drained
Y8375	Perianal candida
Y8406	Perineal tear/lacerat. repair
Y8408	Periodic exam. during employ
Y8411	Peripheral nerve dis. NOS
Y8412	Peripheral nerve surg. biopsy
Y8413	Peripheral oedema [D]
Y8416	Peritoneum - ascites tap
Y8419	Peritonsillar abscess -quinsey
Y8422	Permanent cardiac pacemaker
Y8424	Per-oral cholecystography
Y8426	Pesticides - toxic effect
Y8427	Petechiae [D]
Y8430	PFR 60-80% of predicted
Y8431	PFR after bronchodilation
Y8433	Pharmacists
Y8439	Phobic state
Y8440	Phonocardiogram abnormal [D]
Y8446	Physical disabil.assess score
Y8449	Physical/nutrit. assessment
Y8456	Pilonidal sinus excision
Y8458	Pituitary function test
Y8460	Placenta praevia - no hge
Y8463	Plain radiography
Y8464	Plain X-ray ankle joint
Y8465	Plain X-ray clavicle
Y8466	Plain X-ray elbow
Y8467	Plain X-ray ethmoidal cells
Y8469	Plain X-ray foot
Y8470	Plain X-ray frontal sinuses
Y8471	Plain X-ray hand
Y8474	Plain X-ray knee
Y8475	Plain X-ray lumbar spine
Y8476	Plain X-ray lumbar/sacral spi.
Y8477	Plain X-ray mandible
Y8478	Plain X-ray mastoid process
Y8480	Plain X-ray maxillary sinuses
Y8481	Plain X-ray neck of femur
Y8484	Plain X-ray patella
Y8486	Plain X-ray pubis
Y8487	Plain X-ray ribs
Y8488	Plain X-ray sacro-iliac joint
Y8489	Plain X-ray scapula
Y8490	Plain X-ray shoulder joint
Y8491	Plain X-ray sternum
Y8492	Plain X-ray temporomandib.jnt
Y8493	Plain X-ray thoracic cage
Y8494	Plain X-ray thoracic spine
Y8506	Pleurodynia [D]
Y8508	Pneumonia/influenza NOS
Y8509	Poikilocytosis [D]
Y8515	Poisoning: venom spiders
Y8518	Polydipsia [D]
Y8519	Polydipsia NOS [D]
Y8522	Polyuria [D]
Y8523	Poor self esteem
Y8527	Post mortem exam.
Y8530	Post mortem exam. requested
Y8531	Post mortem report received
Y8532	Post mortem result
Y8533	Post nasal space X-ray
Y8534	Post natal visiting NOS
Y8537	Post traumatic epilepsy
Y8539	Post-coital ccept procedures
Y8549	Postmastectomy lymphoedema
Y8561	Post-natal exercises
Y8562	Postnatal visiting
Y8564	Post-op. fistula
Y8565	Post-op. foreign body
Y8570	Postpartum DVT
Y8576	Postural proteinuria
Y8578	Post-viral arthropathy
Y8579	Post-viral infect. debility
Y8580	Postviral syndr.(asthenic) [D]
Y8582	Pre/post-operative proced.NOS
Y8583	Pre-auricular fistula excised
Y8585	Precipitancy
Y8588	Preg. + anaemia
Y8590	Preg. + thyroid dysfunction
Y8595	Preg.+ diabetes mellitus
Y8602	Pregnancy risk factors NOS
Y8615	Pre-primary teachers
Y8616	Preprolifer diabet retinopathy
Y8619	Prescribed post-coital OCP
Y8622	Preterm delivery jaundice
Y8623	Preventive procedures
Y8624	Preventive procedures NOS
Y8626	Prickly heat - sweat rash
Y8627	Primary closed-angle glaucoma
Y8628	Primary excisn lumbar IV disc
Y8629	Primary teachers
Y8630	Primary tuberculosis infection
Y8631	Printing/photogr.process NOS
Y8632	Private cardiological referral
Y8633	Private dermatology referral
Y8634	Private ENT referral
Y8635	Private gastroenterol referral
Y8637	Private general surg referral
Y8639	Private gynaecologic referral
Y8641	Private neurological referral
Y8642	Private neurosurgical referral
Y8644	Private ophthalmolog referral
Y8645	Private orthopaedic referral
Y8651	Proctostomy
Y8652	Proctostomy closure
Y8656	Prolapsed umbilical cord
Y8657	Proliferat diabet retinopathy
Y8663	Prostatic calculus
Y8669	Proteinuria [D]
Y8670	Proteinuria NOS [D]
Y8672	Provident assoc claim-unpaid
Y8673	Provider initiated encount NOS
Y8675	PSV + conductor exam.
Y8676	Psych. disorder monitoring NOS
Y8677	Psych. drug side effects
Y8679	Psych.treatment started
Y8680	Psych.treatment stopped
Y8683	Pt advised buy medical kit
Y8685	Pt non compliant with advice
Y8694	Pubic lice - crabs
Y8696	Puerperium complic. NOS
Y8704	Punch biopsy - prostate
Y8713	Pyog. arthr. - knee joint
Y8718	Pyrexia [D]
Y8719	Pyrexia of unknown origin [D]
Y8725	Radiation exposure screen
Y8761	Radioth.:temporary implant NOS
Y8766	Radioth:temp.head/neck implant
Y8768	Radiotherapy - post-op.control
Y8769	Radiotherapy - pre-op. control
Y8771	Radiotherapy-tumour palliation
Y8773	Rambling
Y8775	Ramsay-Hunt syndrome
Y8776	Ranula - salivary mucocele
Y8777	Rash/nonsp.skin erupt.NOS [D]
Y8778	Rash/nonspec.skin eruption [D]
Y8779	RAST test
Y8780	RBC - red blood cell shape
Y8781	RBC - red blood cell size
Y8782	RBC folate abnormal
Y8783	RBC protoporphyrin level
Y8785	RBCs - hypochromic
Y8786	RBCs - macrocytic
Y8789	RBCs - polychromasia
Y8792	RBCs - spherocytes
Y8805	Reaction: skin/topical agent
Y8806	Reaction: tetanus antitoxin
Y8807	Reaction: tetanus vaccine
Y8810	Reactive arthropathy unspec
Y8815	Receptionists
Y8818	Rectum incision/excision
Y8819	Rectum-abdominoperin resection
Y8828	Recur. disloc.- shoulder joint
Y8830	Recurrent urinary tract infecn
Y8831	Red blood cell (RBC) count
Y8834	Red blood cell folate
Y8835	Red blood cell size normal
Y8838	Red cell volume abnormal [D]
Y8839	Reduce adipose tissue abd.wall
Y8845	Reduction of haemorrhoids
Y8847	Refer Cardiothoracic surgeon
Y8851	Refer to A. & E. department
Y8852	Refer to cardiac rehab nurse
Y8854	Refer to hosp. eye casualty
Y8856	Refer to occupational therapy
Y8858	Referral for sigmiodoscopy
Y8859	Referred by mid-wife
Y8862	Refuse procedure-after thought
Y8864	Refused new patient screen
Y8866	Refuses hypertension monitor.
Y8867	Regional enteritis-small bowel
Y8870	Reiters disease/syndrome
Y8874	Removal of foreign bodies NOS
Y8878	Removal of skin blemish
Y8880	Removal of skin sutures
Y8882	Removal of tattoo marks
Y8888	Remove object from conjunctiva
Y8896	Renal colic [D]
Y8897	Renal colic NOS [D]
Y8899	Renal incision - nephrotomy
Y8900	Rep.presc. monitoring NOS
Y8901	Rep.presc.-follow-up assess.
Y8903	Rep.presc.treatment started
Y8904	Rep.presc.treatment stopped
Y8907	Rept to Drug Safety Resch Unit
Y8910	Requires yellow fever vaccine
Y8912	Resp. disease monitoring NOS
Y8913	Resp. disease screen NOS
Y8914	Resp. flow rate measured
Y8916	Respir/chest symptoms NOS [D]
Y8917	Respiration monitoring
Y8923	Respiratory diseases NOS
Y8925	Respiratory failure [D]
Y8927	Respiratory flow rates
Y8928	Respiratory insufficiency [D]
Y8930	Re-suture wound
Y8931	Retention of urine [D]
Y8932	Retina abnormal - diabet relat
Y8933	Retina/choroid/vitreous op.NOS
Y8936	Retinal photocoag. therapy
Y8937	Retinal tear/defect
Y8938	Retinal vascular changes NOS
Y8942	Retroperitoneal tissue ops.
Y8943	Retropharyngeal absces.drained
Y8944	Retropubic urethral suspension
Y8958	Rheum. arth. - knee joint
Y8964	Rheumat. drug side effect
Y8965	Rheumat. follow-up assessment
Y8966	Rheumat. initial assessment
Y8968	Rheumat. treatment change
Y8969	Rheumat.dis.- joints affected
Y8970	Rheumat.dis.treatment started
Y8972	Rheumatism NOS - ankle/foot
Y8973	Rheumatism NOS - elbow
Y8975	Rheumatism NOS - hip
Y8977	Rheumatism NOS - multiple
Y8978	Rheumatism NOS - shoulder
Y8980	Rheumatoid arthritis screen
Y8981	Rheumatol.dis. monitoring NOS
Y8982	Ringing of haemorrhoids
Y8984	Rose Waaler test - sheep cells
Y8986	Routine episiotomy + repair
Y8994	Rubella antibody screen admin.
Y8997	Rubella screen
Y8998	Rubella screen - blood sent
Y9000	Rubella screen not offered
Y9001	Rubella screen not wanted
Y9002	Rubella screen offered
Y9011	Sacral disorder NOS
Y9013	Salango - oophorotomy
Y9017	Salivary duct dilatation
Y9019	Salivary gland diseases
Y9021	Salivary gland/duct op. NOS
Y9023	Sample sent to lab. for test
Y9027	Schilling test -B12 absorption
Y9028	Schizophrenic psychoses NOS
Y9031	School screen for verrucae
Y9041	Sebaceous gland disorder NOS
Y9042	Seborrhoeic dermatitis/eczema
Y9043	Second tetanus + polio vacc.
Y9057	Secondary Parkinsonism - drugs
Y9058	Secondary PPH
Y9060	Secondary teachers
Y9064	Seen by chiropracter
Y9066	Seen by mid-wife
Y9067	Seen by occupation therap
Y9068	Seen in warden sup flat
Y9069	Seen in warden sup house
Y9071	Self catering travel
Y9072	Self monit blood+urine glucose
Y9073	Self monitoring blood glucose
Y9074	Self monitoring urine glucose
Y9076	Selling occupations
Y9077	Semen abnormal [D]
Y9078	Semen abnormal NOS [D]
Y9080	Semen volume v.low: <0.5 ml.
Y9083	Senile (atrophic) vaginitis
Y9092	Separated epiph.-closed reduct
Y9093	Ser alk phos bone enzyme lev
Y9097	Serum amino-acids NOS
Y9099	Serum folate
Y9101	Serum iron abnormal
Y9102	Serum lipoprotein level
Y9105	Sexual activity - 2-3x / month
Y9107	Shared care - hospice / GP
Y9108	Shared care: district nurse/GP
Y9109	Shared care: health visitor/GP
Y9110	Shared care: other agency / GP
Y9111	Shared care: practice nurse/GP
Y9112	Shirodkar suture -in pregnancy
Y9125	Shortness of breath [D]
Y9126	Shotgun applic cert-fee paid
Y9128	Shoulder arthroplasty
Y9130	Shoulder joint stiffness
Y9132	Sickle cell disease screen
Y9135	Skin cauterisation
Y9138	Skin FB removal
Y9141	Skin for graft excision
Y9142	Skin lesion excision
Y9144	Skin scrapings biopsy
Y9146	Skin sensation disturbance [D]
Y9148	Skin symptoms NOS [D]
Y9149	Skin tattooing
Y9153	Skin traction
Y9157	Skin/subcutaneous diseases NOS
Y9158	Skin/subcutaneous infections
Y9160	Skin/subcutaneous operations
Y9161	Skin/subcutaneous tissu diseas
Y9162	Skin: type 4 late reaction
Y9167	Sleep dysfunction NEC [D]
Y9172	Slipped femoral epiphysis-uppr
Y9173	Slow virus infection of CNS
Y9174	Slowing of urinary stream [D]
Y9176	Small bowel polyps excised
Y9179	Smell & taste disorder [D]
Y9180	Smell & taste disorder NOS [D]
Y9183	Social group 3 - non manual
Y9185	Social/personal history
Y9188	Soft tiss.X-ray chest abnormal
Y9189	Soft tiss.X-ray chest normal
Y9194	Soft tiss.X-ray neck abnormal
Y9197	Soft tiss.X-ray thoracic aorta
Y9201	Soft tissue X-ray ear
Y9202	Soft tissue X-ray neck
Y9204	Solicitors exam+report sent
Y9205	Somnolence [D]
Y9206	Spasms [D]
Y9209	Sperm morph. low: 30-50% norm.
Y9213	Sperm mot. 6-8 hrs.low 10-30%
Y9215	Sperm no./cc good:> 60 million
Y9216	Sperm no./cc low: 10-30 mill.
Y9220	Spermatic cord hydrocele rep.
Y9225	Sphincter of oddi operation
Y9226	Spinal anaesthesia
Y9227	Spinal arthrodesis
Y9231	Spinal drainage - lumbar punct
Y9233	Spinal nerve root injury
Y9237	Spleen enlargement [D]
Y9238	Spleen operations
Y9245	Splinter: foot
Y9246	Splinter: hand
Y9252	Spontaneous membrane rupture
Y9253	Sprain - Achilles tendon
Y9254	Sprain - back
Y9255	Sprain - foot NOS
Y9256	Sprain - fore arm
Y9257	Sprain - hand NOS
Y9258	Sprain - lateral knee ligament
Y9259	Sprain - lower leg
Y9260	Sprain - medial knee ligament
Y9262	Sprain - wrist
Y9263	Sprain -cruciate knee ligament
Y9265	Sprained elbow
Y9266	Sprained foot
Y9267	Sprained hip
Y9268	Sprained jaw
Y9269	Sprained knee
Y9270	Sprained knee NOS
Y9271	Sprained ribs
Y9273	Spurious (overflow) diarrhoea
Y9274	Sputum abnormal [D]
Y9276	Sputum abnormal colour [D]
Y9279	Sputum,positiv.culture find[D]
Y9280	Sputum: mucopurulent
Y9282	Stammering and stuttering
Y9298	Stomach/duodenum disorder NOS
Y9300	Stool abnormal [D]
Y9305	Stool mucus abnormal [D]
Y9308	Stop smoking monitor.chck done
Y9311	Strangury [D]
Y9314	Strep.throat + scarlatina NOS
Y9315	Stress related problem
Y9316	Stretching of fascia
Y9318	Stricture of anus/rectum
Y9325	Subcut injection heparin
Y9328	Sub-talar/triple arthrodesis
Y9331	Sudden death, cause unknown[D]
Y9332	Sudden hearing loss NOS
Y9336	Suicide - successful
Y9340	Superficial injury NOS
Y9342	Superficial injury NOS: arm
Y9344	Superficial injury NOS: face
Y9345	Superficial injury NOS: foot
Y9346	Superficial injury NOS: hand
Y9347	Superficial injury NOS: leg
Y9348	Superficial injury NOS: neck
Y9349	Superficial injury NOS: scalp
Y9351	Superficial injury: face
Y9353	Superficial injury: scalp
Y9356	Supernumary nipple
Y9372	Surg. biopsy - female gen. NOS
Y9375	Surg. biopsy - male genital
Y9381	Surg. biopsy - salivary gland
Y9389	Surgical biopsy - anus
Y9392	Surgical biopsy - breast
Y9399	Surgical biopsy - GIT NOS
Y9403	Surgical biopsy - liver
Y9405	Surgical biopsy - nose
Y9407	Surgical biopsy - palate
Y9408	Surgical biopsy - penis
Y9409	Surgical biopsy - pharynx
Y9413	Surgical biopsy - tongue
Y9419	Surgical biopsy skin NOS
Y9421	Surgical diathermy
Y9424	Surgical tooth extraction unsp
Y9425	Surgical/supportive stockings
Y9429	Suture failure in surgical op.
Y9430	Sweat gland disorders
Y9431	Swelling in head or neck [D]
Y9432	Swelling, local superficial[D]
Y9433	Swelling, mass abdo/pelv [D]
Y9434	Swelling, mass, lump chest [D]
Y9437	Swollen glands [D]
Y9442	Symptom occurs pre-menstrually
Y9445	Symptoms,signs,ill-def.cond[D]
Y9450	Synacthen challenge - adrenal
Y9451	Syncope and collapse [D]
Y9452	Syncope and collapse NOS [D]
Y9453	Syndactyly - webbed digits
Y9455	Synovial cyst removed
Y9458	Synovitis/tenosyn.- ankle/foot
Y9459	Synovitis/tenosyn.- elbow
Y9461	Synovitis/tenosyn.- knee
Y9462	Synovitis/tenosyn.- NOS
Y9463	Synovitis/tenosyn.- shoulder
Y9466	Systems analyst/computer prog.
Y9472	Taught self catheterisation
Y9479	Technical sales representat.
Y9482	Temporo-mandib.joint manipulat
Y9483	Temporomandibular arthrogram
Y9485	Tendinitis of hip region
Y9493	Tendon re-attached
Y9496	Tendon sutured
Y9499	Termination of pregnancy op.
Y9505	Testicular lesion excision
Y9506	Testicular prosthesis inserted
Y9507	Testicular self examination
Y9509	Testis excision NOS
Y9510	Testis excision/orchidectomy
Y9519	Therapeutic asp. hydrocele
Y9527	Therapeutic aspiration - bursa
Y9531	Therapeutic aspiration-general
Y9532	Thermography - breast
Y9535	Third tetanus + polio vacc.
Y9536	Thirst, excessive [D]
Y9540	Thoracic disc lesion-displaced
Y9542	Thoracic repair diaphr.hernia
Y9546	Throat pain [D]
Y9547	Throat,positiv.culture find[D]
Y9548	Thrombophilia screen
Y9550	Thrombosed haemorrhoid:incised
Y9553	Thyroglossal duct excision
Y9555	Thyroid disorder screen
Y9556	Thyroid scan abnormal [D]
Y9560	Tinea of body - ringworm
Y9561	Tinea pedis - athletes foot
Y9562	Tingling of skin [D]
Y9563	Tinnitus symptoms
Y9567	Tissue inject.for local action
Y9569	Tobacco usage screen
Y9574	Tongue tie
Y9579	Tooth extraction - forceps
Y9582	Tooth removal
Y9588	Tooth: root canal therapy
Y9589	TOP - vacuum extraction
Y9591	Torsion dystonia
Y9592	Total alkaline phosphatase
Y9596	Total white cell count
Y9614	Transaminase or LDH raised [D]
Y9616	Transient hypertension of preg
Y9619	Transureth. bladder neck excis
Y9622	Trauma - amputation-lower limb
Y9623	Trauma - amputation-upper limb
Y9625	Traumatic amputation - finger
Y9626	Traumatic amputation - foot
Y9635	Traumatic arth. - hand joint
Y9637	Traumatic arth. - knee joint
Y9638	Traumatic arth. - other joint
Y9642	Traumatic pneumohaemothorax
Y9644	Travel cancellation exam.
Y9645	Travel examinations
Y9646	Tremor [D]
Y9647	Tremor - familial/benign
Y9650	Trigeminal nerve disorders
Y9651	Trigeminal nerve disorders NOS
Y9652	Trigger point inj-local action
Y9660	Tuberculosis-kidney + other GU
Y9661	Tumour marker levels
Y9662	Tumour of uterine body
Y9663	TUR: bladder diathermy
Y9668	Twins - 1 still + 1 live born
Y9669	Twins - both still born
Y9673	Ultrafiltration of blood
Y9675	Ultrasound cardiogram abn. [D]
Y9676	Ultrasound scan of thyroid
Y9680	Umbilical discharge [D]
Y9684	Umbilical pain [D]
Y9685	Umbilical swelling [D]
Y9689	Unconsciousness [D]
Y9692	Unilat.fallopian tube ligation
Y9693	Unilat.salpingo-oophorectomy
Y9694	Unilateral thyroidectomy
Y9700	Unspecified viraemia [D]
Y9701	Up to date with immunisations
Y9702	Upper abd. soft tiss.X-ray NOS
Y9703	Upper abd. soft tissue X-ray
Y9706	Upper resp tract infection
Y9712	Ureter reimplanted in bladder
Y9714	Ureterectomy -ureter resection
Y9715	Ureteric colic [D]
Y9717	Urethra diverticulum excision
Y9720	Urethral catheterisation
Y9723	Urethral incision -urethrotomy
Y9724	Urethral remove ureter calcul.
Y9728	Urethrotomy + exploration
Y9731	Urinary bladder distension
Y9732	Urinary bladder repair
Y9733	Urinary bladder repair NOS
Y9738	Urinary dis.treatment started
Y9739	Urinary dis.treatment stopped
Y9742	Urinary incontin/sling opn.NOS
Y9743	Urinary neoplasm screen
Y9744	Urinary pan-endoscopy
Y9745	Urinary symptoms NOS [D]
Y9747	Urinary system symptoms [D]
Y9748	Urinary tract operation NOS
Y9756	Urine screen abnormal
Y9757	Urine screen due
Y9758	Urine screen for blood
Y9759	Urine screen for protein
Y9760	Urine screen normal
Y9761	Urine screen NOS
Y9764	Urine smell abormal
Y9765	U-S abdominal scan
Y9767	U-S gallbladder scan
Y9768	U-S great vessel scan
Y9769	U-S heart scan
Y9770	U-S kidneys
Y9771	U-S liver scan
Y9773	U-S obstetric scan abnormal
Y9774	U-S obstetric scan normal
Y9775	U-S obstetric scan requested
Y9776	U-S pelvic scan
Y9779	U-S scan - fetal maturity
Y9780	U-S scan - fetal presentation
Y9781	U-S scan - multiple fetus
Y9788	Uses sheath + spermicide
Y9792	Uterovaginal pessary
Y9793	Uterovaginal prolapse -partial
Y9794	Uterovaginal prolapse-complete
Y9796	V.D.R.L. test
Y9798	Vaginal disorders NOS
Y9799	Vaginal excision NOS
Y9800	Vaginal fluid abnormal [D]
Y9801	Vaginal removal of IUCD
Y9806	Varicocele - scrotal varices
Y9809	Varicose ulcer of leg
Y9810	Varicose vein ligate + strip
Y9811	Varicose vein ligation
Y9812	Varicose vein op. NOS
Y9813	Varicose veins of legs
Y9814	Varicose veins,legs - obst.
Y9820	Vasovagal attack [D]
Y9827	Venogram - renal
Y9836	Venous flare
Y9837	Venous thrombosis NOS
Y9842	Vertigo NEC [D]
Y9843	Very heavy smoker - 40+cigs/d
Y9853	Viral diseases NOS
Y9858	Visual disturbances
Y9860	Vit B12 deficiency screen
Y9862	Vocal cord injection
Y9885	Weight gain, abnormal [D]
Y9886	Weight loss, abnormal [D]
Y9914	Cards Trial
Y9919	Choose
Y9928	Erectial Disfunction Study
Y9930	Race - British
Y9931	Race - Indian
Y9932	Race - Mediterranean
Y9935	Mothers previous live births
Y9938	Mothers previous neonatal deaths
Y9939	Mothers Gestation (Calc/Est)
Y9944	Child Examination: Manipulation
Y9948	Referral to general practitioner
Y9960	Vocal strain
